Time[s],CH1[V],CH2[V],
-2.4400004e-05,-0.00000e+00,-0.00000e+00,
-2.4200004e-05,-4.00000e-02,-0.00000e+00,
-2.4000004e-05,-4.00000e-02,4.00000e-02,
-2.3800005e-05,4.00000e-02,-0.00000e+00,
-2.3600005e-05,-0.00000e+00,-0.00000e+00,
-2.3400005e-05,-4.00000e-02,4.00000e-02,
-2.3200006e-05,-4.00000e-02,-0.00000e+00,
-2.3000006e-05,4.00000e-02,4.00000e-02,
-2.2800006e-05,-4.00000e-02,-0.00000e+00,
-2.2600007e-05,-0.00000e+00,-0.00000e+00,
-2.2400007e-05,-0.00000e+00,-0.00000e+00,
-2.2200007e-05,-4.00000e-02,4.00000e-02,
-2.2000007e-05,4.00000e-02,-0.00000e+00,
-2.1800008e-05,-4.00000e-02,-0.00000e+00,
-2.1600008e-05,-4.00000e-02,-0.00000e+00,
-2.1400008e-05,4.00000e-02,4.00000e-02,
-2.1200009e-05,-4.00000e-02,-0.00000e+00,
-2.1000009e-05,4.00000e-02,-0.00000e+00,
-2.0800009e-05,-0.00000e+00,-0.00000e+00,
-2.0600010e-05,-4.00000e-02,-0.00000e+00,
-2.0400010e-05,-4.00000e-02,-0.00000e+00,
-2.0200010e-05,4.00000e-02,-7.99999e-02,
-2.0000010e-05,-4.00000e-02,-0.00000e+00,
-1.9800011e-05,4.00000e-02,-0.00000e+00,
-1.9600011e-05,4.00000e-02,-0.00000e+00,
-1.9400011e-05,-4.00000e-02,-0.00000e+00,
-1.9200012e-05,-4.00000e-02,-0.00000e+00,
-1.9000012e-05,4.00000e-02,4.00000e-02,
-1.8800012e-05,-0.00000e+00,-0.00000e+00,
-1.8600012e-05,-4.00000e-02,4.00000e-02,
-1.8400013e-05,4.00000e-02,-0.00000e+00,
-1.8200013e-05,-4.00000e-02,4.00000e-02,
-1.8000013e-05,4.00000e-02,-0.00000e+00,
-1.7800014e-05,-4.00000e-02,4.00000e-02,
-1.7600014e-05,4.00000e-02,-0.00000e+00,
-1.7400014e-05,-4.00000e-02,-0.00000e+00,
-1.7200015e-05,-4.00000e-02,-0.00000e+00,
-1.7000015e-05,4.00000e-02,-0.00000e+00,
-1.6800015e-05,-0.00000e+00,-0.00000e+00,
-1.6600015e-05,-4.00000e-02,4.00000e-02,
-1.6400016e-05,-4.00000e-02,-0.00000e+00,
-1.6200016e-05,4.00000e-02,-0.00000e+00,
-1.6000016e-05,-4.00000e-02,-0.00000e+00,
-1.5800017e-05,-0.00000e+00,4.00000e-02,
-1.5600017e-05,-4.00000e-02,-0.00000e+00,
-1.5400017e-05,-0.00000e+00,-0.00000e+00,
-1.5200018e-05,4.00000e-02,-0.00000e+00,
-1.5000018e-05,-4.00000e-02,4.00000e-02,
-1.4800018e-05,-0.00000e+00,-0.00000e+00,
-1.4600018e-05,-4.00000e-02,-0.00000e+00,
-1.4400019e-05,-4.00000e-02,-0.00000e+00,
-1.4200019e-05,4.00000e-02,4.00000e-02,
-1.4000019e-05,-4.00000e-02,-0.00000e+00,
-1.3800020e-05,4.00000e-02,-0.00000e+00,
-1.3600020e-05,-4.00000e-02,-0.00000e+00,
-1.3400020e-05,4.00000e-02,4.00000e-02,
-1.3200020e-05,-4.00000e-02,-0.00000e+00,
-1.3000021e-05,-0.00000e+00,4.00000e-02,
-1.2800021e-05,-4.00000e-02,-0.00000e+00,
-1.2600021e-05,4.00000e-02,-0.00000e+00,
-1.2400022e-05,4.00000e-02,-0.00000e+00,
-1.2200022e-05,-4.00000e-02,4.00000e-02,
-1.2000022e-05,-0.00000e+00,-0.00000e+00,
-1.1800023e-05,-4.00000e-02,-0.00000e+00,
-1.1600023e-05,-0.00000e+00,-0.00000e+00,
-1.1400023e-05,-4.00000e-02,-0.00000e+00,
-1.1200023e-05,-4.00000e-02,-0.00000e+00,
-1.1000024e-05,4.00000e-02,4.00000e-02,
-1.0800024e-05,-4.00000e-02,-0.00000e+00,
-1.0600024e-05,-0.00000e+00,4.00000e-02,
-1.0400025e-05,-4.00000e-02,-0.00000e+00,
-1.0200025e-05,4.00000e-02,-0.00000e+00,
-1.0000025e-05,-4.00000e-02,-0.00000e+00,
-9.8000255e-06,4.00000e-02,-0.00000e+00,
-9.6000258e-06,-4.00000e-02,-0.00000e+00,
-9.4000261e-06,4.00000e-02,-0.00000e+00,
-9.2000264e-06,-4.00000e-02,-0.00000e+00,
-9.0000267e-06,-0.00000e+00,4.00000e-02,
-8.8000270e-06,-4.00000e-02,-0.00000e+00,
-8.6000273e-06,4.00000e-02,-0.00000e+00,
-8.4000276e-06,4.00000e-02,-0.00000e+00,
-8.2000279e-06,-4.00000e-02,-0.00000e+00,
-8.0000282e-06,-4.00000e-02,4.00000e-02,
-7.8000285e-06,4.00000e-02,-0.00000e+00,
-7.6000283e-06,4.00000e-02,4.00000e-02,
-7.4000282e-06,-4.00000e-02,-0.00000e+00,
-7.2000280e-06,-0.00000e+00,-0.00000e+00,
-7.0000278e-06,-4.00000e-02,4.00000e-02,
-6.8000277e-06,-4.00000e-02,-0.00000e+00,
-6.6000275e-06,4.00000e-02,-0.00000e+00,
-6.4000274e-06,-4.00000e-02,-0.00000e+00,
-6.2000272e-06,4.00000e-02,-0.00000e+00,
-6.0000270e-06,-4.00000e-02,4.00000e-02,
-5.8000269e-06,-0.00000e+00,-7.99999e-02,
-5.6000267e-06,-4.00000e-02,-0.00000e+00,
-5.4000266e-06,4.00000e-02,-0.00000e+00,
-5.2000264e-06,-4.00000e-02,-0.00000e+00,
-5.0000262e-06,4.00000e-02,-0.00000e+00,
-4.8000261e-06,-0.00000e+00,4.00000e-02,
-4.6000259e-06,-4.00000e-02,-0.00000e+00,
-4.4000258e-06,-4.00000e-02,-0.00000e+00,
-4.2000256e-06,-0.00000e+00,4.00000e-02,
-4.0000255e-06,-0.00000e+00,-0.00000e+00,
-3.8000255e-06,-4.00000e-02,-0.00000e+00,
-3.6000256e-06,-4.00000e-02,-0.00000e+00,
-3.4000257e-06,-0.00000e+00,4.00000e-02,
-3.2000257e-06,-4.00000e-02,-0.00000e+00,
-3.0000258e-06,-0.00000e+00,-0.00000e+00,
-2.8000259e-06,-0.00000e+00,-0.00000e+00,
-2.6000259e-06,-4.00000e-02,4.00000e-02,
-2.4000260e-06,4.00000e-02,-0.00000e+00,
-2.2000261e-06,-4.00000e-02,4.00000e-02,
-2.0000261e-06,4.00000e-02,-0.00000e+00,
-1.8000261e-06,-4.00000e-02,4.00000e-02,
-1.6000261e-06,-4.00000e-02,-0.00000e+00,
-1.4000260e-06,4.00000e-02,-0.00000e+00,
-1.2000260e-06,-4.00000e-02,-0.00000e+00,
-1.0000259e-06,-0.00000e+00,4.00000e-02,
-8.0002593e-07,-4.00000e-02,-0.00000e+00,
-6.0002594e-07,4.00000e-02,-0.00000e+00,
-4.0002595e-07,-4.00000e-02,-0.00000e+00,
-2.0002595e-07,-0.00000e+00,-0.00000e+00,
-2.5949021e-11,-1.20000e-01,-0.00000e+00,
1.9997405e-07,-0.00000e+00,3.36000e+00,
3.9997406e-07,-4.00000e-02,3.36000e+00,
5.9997404e-07,-0.00000e+00,3.32000e+00,
7.9997403e-07,-4.00000e-02,3.36000e+00,
9.9997408e-07,-0.00000e+00,3.32000e+00,
1.1999741e-06,-4.00000e-02,3.32000e+00,
1.3999742e-06,-0.00000e+00,3.36000e+00,
1.5999742e-06,-0.00000e+00,3.32000e+00,
1.7999743e-06,-4.00000e-02,3.28000e+00,
1.9999743e-06,-4.00000e-02,3.32000e+00,
2.1999742e-06,-0.00000e+00,3.32000e+00,
2.3999742e-06,-0.00000e+00,3.32000e+00,
2.5999741e-06,-4.00000e-02,3.28000e+00,
2.7999740e-06,-4.00000e-02,3.32000e+00,
2.9999740e-06,-0.00000e+00,3.28000e+00,
3.1999739e-06,-4.00000e-02,3.32000e+00,
3.3999738e-06,-0.00000e+00,3.36000e+00,
3.5999738e-06,-0.00000e+00,3.32000e+00,
3.7999737e-06,-4.00000e-02,3.28000e+00,
3.9999736e-06,-4.00000e-02,3.28000e+00,
4.1999738e-06,-0.00000e+00,3.32000e+00,
4.3999739e-06,-4.00000e-02,3.28000e+00,
4.5999741e-06,-0.00000e+00,3.32000e+00,
4.7999742e-06,-4.00000e-02,3.32000e+00,
4.9999744e-06,3.40000e+00,-7.99999e-02,
5.1999746e-06,3.36000e+00,-7.99999e-02,
5.3999747e-06,3.36000e+00,-7.99999e-02,
5.5999749e-06,3.36000e+00,-7.99999e-02,
5.7999750e-06,3.32000e+00,-7.99999e-02,
5.9999752e-06,3.32000e+00,-7.99999e-02,
6.1999754e-06,3.36000e+00,-0.00000e+00,
6.3999755e-06,3.32000e+00,-7.99999e-02,
6.5999757e-06,3.36000e+00,-7.99999e-02,
6.7999758e-06,3.32000e+00,-7.99999e-02,
6.9999760e-06,3.32000e+00,-0.00000e+00,
7.1999762e-06,3.32000e+00,-7.99999e-02,
7.3999763e-06,3.32000e+00,-0.00000e+00,
7.5999765e-06,3.32000e+00,-7.99999e-02,
7.7999766e-06,3.32000e+00,-0.00000e+00,
7.9999763e-06,3.32000e+00,-0.00000e+00,
8.1999760e-06,3.28000e+00,-7.99999e-02,
8.3999757e-06,3.32000e+00,-0.00000e+00,
8.5999754e-06,3.32000e+00,-7.99999e-02,
8.7999751e-06,3.32000e+00,-0.00000e+00,
8.9999749e-06,3.28000e+00,-7.99999e-02,
9.1999746e-06,3.32000e+00,-7.99999e-02,
9.3999743e-06,3.28000e+00,-0.00000e+00,
9.5999740e-06,3.28000e+00,-0.00000e+00,
9.7999737e-06,3.32000e+00,-7.99999e-02,
9.9999734e-06,3.32000e+00,-0.00000e+00,
1.0199973e-05,3.16000e+00,3.32000e+00,
1.0399973e-05,3.32000e+00,3.32000e+00,
1.0599972e-05,3.28000e+00,3.36000e+00,
1.0799972e-05,3.28000e+00,3.32000e+00,
1.0999972e-05,3.32000e+00,3.32000e+00,
1.1199972e-05,3.28000e+00,3.32000e+00,
1.1399971e-05,3.32000e+00,3.28000e+00,
1.1599971e-05,3.28000e+00,3.32000e+00,
1.1799971e-05,3.32000e+00,3.32000e+00,
1.1999970e-05,3.32000e+00,3.32000e+00,
1.2199970e-05,3.28000e+00,3.28000e+00,
1.2399970e-05,3.32000e+00,3.32000e+00,
1.2599970e-05,3.28000e+00,3.28000e+00,
1.2799969e-05,3.32000e+00,3.28000e+00,
1.2999969e-05,3.28000e+00,3.32000e+00,
1.3199969e-05,3.32000e+00,3.32000e+00,
1.3399968e-05,3.28000e+00,3.28000e+00,
1.3599968e-05,3.28000e+00,3.28000e+00,
1.3799968e-05,3.32000e+00,3.32000e+00,
1.3999967e-05,3.28000e+00,3.28000e+00,
1.4199967e-05,3.32000e+00,3.32000e+00,
1.4399967e-05,3.28000e+00,3.32000e+00,
1.4599967e-05,3.32000e+00,3.28000e+00,
1.4799966e-05,3.32000e+00,3.32000e+00,
1.4999966e-05,-1.20000e-01,-7.99999e-02,
1.5199966e-05,-7.99999e-02,-0.00000e+00,
1.5399966e-05,-1.20000e-01,-7.99999e-02,
1.5599966e-05,-7.99999e-02,-7.99999e-02,
1.5799966e-05,-1.20000e-01,-7.99999e-02,
1.5999965e-05,-7.99999e-02,-7.99999e-02,
1.6199965e-05,-7.99999e-02,-7.99999e-02,
1.6399965e-05,-7.99999e-02,-7.99999e-02,
1.6599965e-05,-4.00000e-02,-0.00000e+00,
1.6799964e-05,-7.99999e-02,-7.99999e-02,
1.6999964e-05,-4.00000e-02,-0.00000e+00,
1.7199964e-05,-7.99999e-02,-0.00000e+00,
1.7399963e-05,-4.00000e-02,-7.99999e-02,
1.7599963e-05,-4.00000e-02,-7.99999e-02,
1.7799963e-05,-7.99999e-02,-0.00000e+00,
1.7999962e-05,-4.00000e-02,-0.00000e+00,
1.8199962e-05,-7.99999e-02,-7.99999e-02,
1.8399962e-05,-4.00000e-02,-0.00000e+00,
1.8599962e-05,-7.99999e-02,-7.99999e-02,
1.8799961e-05,-4.00000e-02,-7.99999e-02,
1.8999961e-05,-7.99999e-02,-0.00000e+00,
1.9199961e-05,-7.99999e-02,-0.00000e+00,
1.9399960e-05,-4.00000e-02,-7.99999e-02,
1.9599960e-05,-4.00000e-02,-0.00000e+00,
1.9799960e-05,-4.00000e-02,-0.00000e+00,
1.9999959e-05,-4.00000e-02,-0.00000e+00,
2.0199959e-05,-1.60000e-01,3.36000e+00,
2.0399959e-05,-4.00000e-02,3.32000e+00,
2.0599959e-05,-4.00000e-02,3.32000e+00,
2.0799958e-05,-4.00000e-02,3.32000e+00,
2.0999958e-05,-4.00000e-02,3.32000e+00,
2.1199958e-05,-4.00000e-02,3.32000e+00,
2.1399957e-05,-4.00000e-02,3.32000e+00,
2.1599957e-05,-4.00000e-02,3.32000e+00,
2.1799957e-05,-4.00000e-02,3.32000e+00,
2.1999957e-05,-4.00000e-02,3.28000e+00,
2.2199956e-05,-4.00000e-02,3.32000e+00,
2.2399956e-05,-4.00000e-02,3.32000e+00,
2.2599956e-05,-0.00000e+00,3.28000e+00,
2.2799955e-05,-4.00000e-02,3.32000e+00,
2.2999955e-05,-0.00000e+00,3.28000e+00,
2.3199955e-05,-4.00000e-02,3.28000e+00,
2.3399954e-05,-0.00000e+00,3.32000e+00,
2.3599954e-05,-0.00000e+00,3.32000e+00,
2.3799954e-05,-4.00000e-02,3.28000e+00,
2.3999954e-05,-0.00000e+00,3.28000e+00,
2.4199953e-05,-4.00000e-02,3.32000e+00,
2.4399953e-05,-0.00000e+00,3.28000e+00,
2.4599953e-05,-4.00000e-02,3.32000e+00,
2.4799952e-05,-4.00000e-02,3.32000e+00,
2.4999952e-05,7.99999e-02,-7.99999e-02,
2.5199952e-05,-0.00000e+00,-7.99999e-02,
2.5399951e-05,-4.00000e-02,-1.20000e-01,
2.5599951e-05,-4.00000e-02,-7.99999e-02,
2.5799951e-05,-0.00000e+00,-7.99999e-02,
2.5999951e-05,-4.00000e-02,-7.99999e-02,
2.6199950e-05,-0.00000e+00,-7.99999e-02,
2.6399950e-05,-0.00000e+00,-7.99999e-02,
2.6599950e-05,-4.00000e-02,-7.99999e-02,
2.6799949e-05,-4.00000e-02,-7.99999e-02,
2.6999949e-05,-0.00000e+00,-0.00000e+00,
2.7199949e-05,-4.00000e-02,-7.99999e-02,
2.7399949e-05,-0.00000e+00,-7.99999e-02,
2.7599948e-05,-4.00000e-02,-7.99999e-02,
2.7799948e-05,-4.00000e-02,-0.00000e+00,
2.7999948e-05,-4.00000e-02,-0.00000e+00,
2.8199947e-05,-4.00000e-02,-7.99999e-02,
2.8399947e-05,-4.00000e-02,-7.99999e-02,
2.8599947e-05,-0.00000e+00,-0.00000e+00,
2.8799946e-05,-0.00000e+00,-7.99999e-02,
2.8999946e-05,-4.00000e-02,-0.00000e+00,
2.9199946e-05,-0.00000e+00,-7.99999e-02,
2.9399946e-05,-4.00000e-02,-0.00000e+00,
2.9599945e-05,-4.00000e-02,-7.99999e-02,
2.9799945e-05,-0.00000e+00,-0.00000e+00,
2.9999945e-05,-1.60000e-01,-0.00000e+00,
3.0199944e-05,-0.00000e+00,3.32000e+00,
3.0399944e-05,-4.00000e-02,3.32000e+00,
3.0599946e-05,-0.00000e+00,3.32000e+00,
3.0799947e-05,-4.00000e-02,3.32000e+00,
3.0999949e-05,-0.00000e+00,3.28000e+00,
3.1199950e-05,-4.00000e-02,3.32000e+00,
3.1399952e-05,-0.00000e+00,3.32000e+00,
3.1599953e-05,-0.00000e+00,3.32000e+00,
3.1799955e-05,-4.00000e-02,3.28000e+00,
3.1999956e-05,-4.00000e-02,3.32000e+00,
3.2199958e-05,-0.00000e+00,3.32000e+00,
3.2399959e-05,-0.00000e+00,3.32000e+00,
3.2599961e-05,-4.00000e-02,3.28000e+00,
3.2799962e-05,-4.00000e-02,3.32000e+00,
3.2999964e-05,-0.00000e+00,3.28000e+00,
3.3199965e-05,-4.00000e-02,3.28000e+00,
3.3399967e-05,-0.00000e+00,3.32000e+00,
3.3599968e-05,-4.00000e-02,3.28000e+00,
3.3799970e-05,-0.00000e+00,3.32000e+00,
3.3999971e-05,-4.00000e-02,3.28000e+00,
3.4199973e-05,-0.00000e+00,3.32000e+00,
3.4399975e-05,-0.00000e+00,3.28000e+00,
3.4599976e-05,-4.00000e-02,3.32000e+00,
3.4799978e-05,-4.00000e-02,3.32000e+00,
3.4999979e-05,1.20001e-01,-7.99999e-02,
